sample.id	culture.condition	animal	culture.media	preservation.media	growth.condition	cfuml.conc
Kohl.Grounhog.KPM.R028	Anaerobic	GH 1	GMM	Buffered Glycerol 	plate	168823529
Kohl.Grounhog.KPM.R029	Anaerobic	GH 1	GMM	Buffered Glycerol 	plate	168823529
Kohl.Grounhog.KPM.R030	Anaerobic	GH 1	GMM	Buffered Glycerol 	plate	185294118
Kohl.Grounhog.KPM.R031	Anaerobic	GH 1	BHI	Buffered Glycerol 	plate	204705882
Kohl.Grounhog.KPM.R032	Anaerobic	GH 1	BHI	Buffered Glycerol 	plate	477647059
Kohl.Grounhog.KPM.R033	Anaerobic	GH 1	BHI	Stuart	plate	68666667
Kohl.Grounhog.KPM.R034	Anaerobic	GH 1	BHI	Stuart	plate	142000000
Kohl.Grounhog.KPM.R035	Anaerobic	GH 1	BHI	Stuart	plate	164666667
Kohl.Grounhog.KPM.R036	Anaerobic	GH 1	GMM	Stuart	plate	44533333
Kohl.Grounhog.KPM.R037	Anaerobic	GH 1	GMM	Stuart	plate	49866667
Kohl.Grounhog.KPM.R038	Aerobic	GH 1	GMM	Buffered Glycerol 	plate	156470588
Kohl.Grounhog.KPM.R039	Aerobic	GH 1	MH	Buffered Glycerol 	plate	20529412
Kohl.Grounhog.KPM.R040	Aerobic	GH 1	MH	Buffered Glycerol 	plate	218823529
Kohl.Grounhog.KPM.R041	Aerobic	GH 1	BHI	Buffered Glycerol 	plate	228823529
Kohl.Grounhog.KPM.R042	Aerobic	GH 1	BHI	Buffered Glycerol 	plate	261764706
Kohl.Grounhog.KPM.R043	Aerobic	GH 1	BHI	Stuart	plate	446666667
Kohl.Grounhog.KPM.R044	Aerobic	GH 1	BHI	Stuart	plate	113333333
Kohl.Grounhog.KPM.R045	Aerobic	GH 1	BHI	Stuart	plate	124000000
Kohl.Grounhog.KPM.R046	Aerobic	GH 1	GMM	Stuart	plate	136000000
Kohl.Grounhog.KPM.R047	Aerobic	GH 1	MH	Stuart	plate	64000000
Kohl.Grounhog.KPM.R048	Anaerobic	GH 1	BHI	Cary blair	plate	120000000
Kohl.Grounhog.KPM.R049	Anaerobic	GH 1	BHI	Cary blair	plate	120000000
Kohl.Grounhog.KPM.R050	Anaerobic	GH 1	MH	Cary blair	plate	140000000
Kohl.Grounhog.KPM.R051	Anaerobic	GH 1	MH	Cary blair	plate	140476190
Kohl.Grounhog.KPM.R052	Anaerobic	GH 1	GMM	Cary blair	plate	157619048
Kohl.Grounhog.KPM.R053	Anaerobic	GH 1	BHI	Cary blair	plate	184761905
Kohl.Grounhog.KPM.R054	Anaerobic	GH 1	GMM	Cary blair	plate	32952381
Kohl.Grounhog.KPM.R055	Anaerobic	GH 1	BHI	Preservation-free	plate	347368421
Kohl.Grounhog.KPM.R056	Anaerobic	GH 1	MH	Preservation-free	plate	180000000
Kohl.Grounhog.KPM.R057	Anaerobic	GH 1	BHI	Preservation-free	plate	286315789
